IC DMTWSILRUYQNKFEJCAZBPGXOHV
IIC HQZGPJTMOBLNCIFDYAWVEUSRKX
IIIC UQNTLSZFMREHDPXKIBVYGJCWOA
I-R JGDQOXUSCAMIFRVTPNEWKBLZYH
II-R NTZPSFBOKMWRCJDIVLAEYUXHGQ
III-R JVIUBHTCDYAKEQZPOSGXNRMWFL
UKW QYHOGNECVPUZTFDJAXWMKISRBL
ETW QWERTZUIOASDFGHJKPYXCVBNML
I-K PEZUOHXSCVFMTBGLRINQJWAYDK
II-K ZOUESYDKFWPCIQXHMVBLGNJRAT
III-K EHRVXGAOBQUSIMZFLYNWKTPDJC
UKW-K IMETCGFRAYSQBZXWLHKDVUPOJN
ETW-K QWERTZUIOASDFGHJKPYXCVBNML
I EKMFLGDQVZNTOWYHXUSPAIBRCJ
II AJDKSIRUXBLHWTMCQGZNPYFVOE
III BDFHJLCPRTXVZNYEIWGAKMUSQO
IV ESOVPZJAYQUIRHXLNFTGKDCMWB
V VZBRGITYUPSDNHLXAWMJQOFECK
VI JPGVOUMFYQBENHZRDKASXLICTW
VII NZJHGRCXMYSWBOUFAIVLPEKQDT
VIII FKQHTLXOCBJSPDZRAMEWNIUYGV
